Current Family,Current Scienticfic Name,Dowhan Family,Name in Dowhan 1979 ,Common Name(s),Origin,Conservation Status,Connecticut (sources used by Haines),Notes,Other synonyms,,,,,,
Alliaceae,Allium vineale L.,Liliaceae,same,crow garlic,E,,,,,,,,,,
Altingiaceae,Liquidambar styraciflua L.,Hamamelidaceae,same,sweet-gum,N,SC,,,,,,,,,
Amaranthaceae,Amaranthus albus L.,Amaranthaceae,same,tumbleweed amaranth,E,,Kartesz (1999); Seymour (1982),Dowhan says it is native but haines says exotic,,,,,,,
Amaranthaceae,Amaranthus blitoides L.,Amaranthaceae,Amaranthus graecizans L.,prostrate amaranth,E,,Kartesz (1999); Seymour (1982),Haines says that the synonym for this species is Amaranthus graecizans with authorities other than L. but Dowhan lists the authority as L. so I am not sure if there is an issue here.,,,,,,,
Amaranthaceae,Amaranthus cannabinus (L.) Sauer,Amaranthaceae,same,salt marsh water-hemp,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Amaranthus caudatus L.,Amaranthaceae,same,purple amaranth; love-lies-bleeding,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Amaranthus cruentus L.,Amaranthaceae,same,blood amaranth; purple amaranth,E,,Kartesz (1999); Seymour (1982); Harvard University Herbaria!,,,,,,,,
Amaranthaceae,Amaranthus hybridus L. ssp. hybridus,Amaranthaceae,Amaranthus hybridus L.,green amaranth; pigweed,N,,Kartesz (1999); Seymour (1982),Dowhan says exotic but Haines says native,,,,,,,
Amaranthaceae,Amaranthus powellii S. Wats. ssp. powellii,Amaranthaceae,Amaranthus powellii S. Wats.,Powell’s amaranth,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Amaranthus pumilus Raf.,new,new,sea-side amaranth; sea-beach amaranth,N,SCH,,Apparently missed by Dowhan - specimen is from 1800s,,,,,,,
Amaranthaceae,Amaranthus retroflexus L.,Amaranthaceae,same,red-rooted amaranth; redroot; green amaranth,N,,Kartesz (1999); Seymour (1982),Dowhan says exotic but Haines says native,,,,,,,
Amaranthaceae,Amaranthus spinosus L.,Amaranthaceae,same,spiny amaranth,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Amaranthus tuberculatus (Moq.) Sauer,Amaranthaceae,Amaranthus tuberculatus (Moq.) Sauer var. tuberculatus; Amaranthus tuberculatus (Moq.) Sauer var. prostratus (Uline & Bray) Seymour; Amaranthus tuberculatus (Moq.) Sauer var. subnudus (S. Wats.) Fern.,rough-fruited water-hemp,E,,,,,,,,,,
Amaranthaceae,Atriplex acadiensis Tascher.,Chenopodiaceae,Atriplex patula L. var. patula; Atriplex patula L. var. hastata (L.) Gray,maritime orache; spearscale,N,,Seymour (1982) [coastal occurrences],Some individuals called A. patula by Dowhan are this species and some are actually A. patula - it is not clear that they are separated by the varieties. Seymour has var. patula from inland areas of CT while var hastata is from both coastal and inland varieties and var. littoralis is listed from New London County. We will probably have to sort this out with specimens,,,,,,,
Amaranthaceae,Atriplex cristata Humb. & Bonpl. ex Willd.,Chenopodiaceae,Atriplex arenaria Nutt.,seabeach orache,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Atriplex glabriuscula Edmondston,Chenopodiaceae,same,bracted orache,N,SC,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Atriplex hortensis L.,new,new,garden orache,E,,NEBC!,,,,,,,,
Amaranthaceae,Atriplex littoralis L.,Chenopodiaceae,Atriplex patula L. var. littoralis (L.) Gray,linear-leaved orache,E,,,Listed in Dowhan and Seymour but Haines did not find any specimens,,,,,,,
Amaranthaceae,Atriplex patula L.,Chenopodiaceae,Atriplex patula L. var. patula; Atriplex patula L. var. hastata (L.) Gray,spearscale orache,E,,Seymour (1982) [inland populations],includes inland specimens; probably but not certainly from both varieties,,,,,,,
