Current Family,Current Scienticfic Name,Dowhan Family,Name in Dowhan 1979 ,Common Name(s),Origin,Conservation Status,Connecticut (sources used by Haines),Notes,Other synonyms,,,,,,
Berberidaceae,Berberis vulgaris L.,same,same,common barberry; European barberry,I,,Seymour (1982); Kartesz (1999),,,,,,,,
Berberidaceae,Caulophyllum giganteum (Farw.) Loconte & Blackwell,new,new,early blue cohosh,N,,Found recently by Haines,,,,,,,,
Berberidaceae,Caulophyllum thalictroides (L.) Michx.,same,same,blue cohosh,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Berberidaceae,Podophyllum peltatum L.  ,same,same,May-apple; mandrake,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Alnus glutinosa (L.) Gaertn.,new,new,European alder,E,,Magee and Ahles (1999),,,,,,,,
Betulaceae,Alnus incana (L.) Moench ssp. rugosa (Du Roi) Clausen,same,Alnus rugosa (Du Roi) Spreng. var. rugosa; Alnus rugosa (Du Roi) Spreng. var. americana (Regel) Fern.,speckled alder,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Alnus serrulata (Ait.) Willd.,same,Alnus serrulata (Ait.) Willd. var. serrulata; Alnus serrulata (Ait.) Willd. var. subelliptica Fern.,smooth alder; common alder,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Betula alleghaniensis Britt.,same,Betula lutea Michx. f. var. lutea; Betula lutea Michx. f. var. macrolepis Fern.,yellow birch,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Betula cordifolia Regel,same,Betula papyrifera Marsh var. cordifolia (Regel) Fern.,heart-leaved paper birch,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Betula lenta L.,same,same,black birch; cherry birch,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Betula nigra L.,same,same,river birch,E,,Seymour (1982); Kartesz (1999),"Native to parts of New England, but not CT",,,,,,,
Betulaceae,Betula papyrifera Marsh.,same,Betula papyrifera Marsh. var. papyrifera,paper birch; white birch,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Betula pendula Roth,same,same,European weeping birch,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Betula populifolia Marsh.,same,same,gray birch,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Betula pubescens Ehrh. ssp. pubescens,same,Betula pubescens Ehrh.,downy birch; European white birch,E,,Dowhan (1979),,,,,,,,
Betulaceae,Betula pumila L.,same,same,swamp birch; bog birch,N,SC,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Carpinus caroliniana Walt. ssp. virginiana (Marsh.) Furlow,same,Carpinus caroliniana Walt. var. virginiana (Marsh.) Fern.,American hornbeam; ironwood,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Corylus americana Walt.,same,same,American hazelnut,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Corylus cornuta Marsh. ssp. cornuta,same,Corylus cornuta Marsh.,beaked hazelnut,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Betulaceae,Ostrya virginiana (P. Mill.) K. Koch,same,same,hop-hornbeam; American hop-hornbeam,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Bignoniaceae,Campsis radicans (L.) Seem. ex Bureau,same,Campsis radicans (L.) Seem.,trumpet-creeper,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Bignoniaceae,Catalpa bignonioides Walt.,same,same,southern catalpa,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Bignoniaceae,Catalpa ovata G. Don,same,same,Chinese catalpa,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Bignoniaceae,Catalpa speciosa (Warder) Warder ex Engelm.,same,Catalpa speciosa Warder,northern catalpa; western catalpa,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Blechnaceae,Woodwardia areolata (L.) T. Moore,Polypodiaceae,Woodwardia areolata (L.) Moore,netted chainfern,N,,Cranfill (1993),,,,,,,,
Blechnaceae,Woodwardia virginica (L.) Smith,Polypodiaceae,Woodwardia virginica (L.) Sm.,Virginia chainfern,N,,Cranfill (1993),,,,,,,,
Boraginaceae,Amsinckia lycopsoides Lehm.,same,Amsinckia barbata Greene,bugloss fiddleneck,E,,Dowhan (1979); Magee and Ahles (1999),,,,,,,,
Boraginaceae,Amsinckia menziesii (Lehm.) A. Nels. & J.F. Macbr. var. intermedia (Fischer & C.A. Mey.) Ganders,new,new,rancher's fiddleneck,E,,Tucker (1995),,,,,,,,
Boraginaceae,Amsinckia menziesii (Lehm.) A. Nels. & J.F. Macbr. var. menziesii,new,new,rancher's fiddleneck,E,,Tucker (1995),,,,,,,,
Boraginaceae,Anchusa arvensis (L.) Bieb.,same,Anchusa arvensis L. ssp. arvensis,small bugloss,E,,Dowhan (1979),,,,,,,,
Boraginaceae,Anchusa azurea P. Mill.,new,new,Italian bugloss,E,,Magee and Ahles (1999); Kartesz (1999),,,,,,,,
Boraginaceae,Cynoglottis barrelieri (All.) Veral & Kit Tan,Boraginaceae,Anchusa barrellieri (All.) Vitm.,small bugloss,E,,Not,Specimen found at UCONN after Haines flora was printed,,,,,,,
Boraginaceae,Anchusa officinalis L.,same,same,common bugloss; common alkanet,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Boraginaceae,Asperugo procumbens L.,new,new,German madwort,E,,Tucker (1995),,,,,,,,
Boraginaceae,Borago officinalis L.,same,same,borage,E,,Tucker (1995); Kartesz (2008),,,,,,,,
Boraginaceae,Buglossoides arvensis (L.) I.M. Johnston ssp. arvensis,same,same,corn-gromwell,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Cynoglossum officinale L.,same,same,common hound's-tongue,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Cynoglossum virginianum L. ssp. boreale (Fern.) A. Haines,same,Cynoglossum boreale Fern.,northern wild comfrey,N,SCH,Seymour (1982); Kartesz (2008),believed extirpated in CT;               Haines: of regional conservation concern,,,,,,,
Boraginaceae,Cynoglossum virginianum L. var. virginianum,same,Cynoglossum virginianum L.,southern wild comfrey,N,SC,Seymour (1982); Kartesz (2008),believed extirpated  in CT;              Haines: of regional conservation concern,,,,,,,
Boraginaceae,Echium vulgare L.,same,same,common viper's bugloss; blue-weed,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Ellisia nyctelea (L.) L.,new,same,Aunt Lucy,E,,Tucker (1995),,,,,,,,
Boraginaceae,Hackelia virginiana (L.) I.M. Johnston,same,same,Virginia stickseed,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Hydrophyllum virginianum L.,Hydrophyllaceae,same,eastern waterleaf,N,SC,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Lappula squarrosa (Retz.) Dumort.,same,Lappula squarrosa (Retz.) Dumort ssp. squarrosa,"bristly sheepburr; European stickseed, burseed",E,,Seymour (1982); Kartesz (2008); specimen at NEBC!,,,,,,,,
Boraginaceae,Lithospermum officinale L.,same,same,European gromwell,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Myosotis arvensis (L.) Hill,same,same,field forget-me-not; field scorpion-grass,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Myosotis laxa Lehm.,same,same,smaller forget-me-not,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Myosotis scorpioides L.,same,same,water forget-me-not; true forget-me-not,I,,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Myosotis stricta Link ex Roemer & J.A. Schultes,same,Myosotis stricta Link ex R & S,blue scorpion-grass,E,,Dowhan (1979); Magee and Ahles (1999),,,,,,,,
Boraginaceae,Myosotis verna Nutt.,same,same,spring forget-me-not; early scorpion-grass ,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Onosmodium bejariense DC. ex A. DC. var. occidentale (Mackenzie) B.L. Turner,same,Onosmodium occidentale Mackenz.,soft-haired false gromwell,E,,,known only from one  (New England)  location -- New Haven County,,,,,,,
Boraginaceae,Onosmodium virginianum (L.) A. DC.,same,same,"gravel-weed, false gromwell",N,En,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Phacelia linearis (Pursh) Holz.,Hydrophyllaceae,same,,E,,Dowhan (1979),,,,,,,,
Boraginaceae,Phacelia purshii Buckl.,Hydrophyllaceae,same,purple scorpion-weed; Miami mist,E,,Dowhan (1979),,,,,,,,
Boraginaceae,Phacelia viscida (Benth. ex Lindl.) Torr.,Hydrophyllaceae,Phacelia viscida Torr.,tacky scorpion-weed,E,,Dowhan (1979),,,,,,,,
Boraginaceae,Pulmonaria saccharata P. Mill.,new,new,Bethlehem lungwort,E,,,,,,,,,,
Boraginaceae,Symphytum ×uplandicum Nyman,new,new,no common name,E,,,,,,,,,,
Boraginaceae,Symphytum asperum Lepechin,same,same,prickly comfrey,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Symphytum officinale L.,same,same,common comfrey,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Boraginaceae,Symphytum tuberosum L.,same,same,tuberous comfrey,E,,Tucker (1995); Kartesz (2008),,,,,,,,
Brassicaceae,Alliaria petiolata (Bieb.) Cavara & Grande,Cruciferae,same,garlic-mustard,I,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Alyssum alyssoides (L.) L.,Cruciferae,Alyssum alyssoides L.,pale alyssum; small alyssum,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz ssp. lyrata,Cruciferae,Arabis lyrata L.,lyre-leaved thale-cress; lyre-leaved rock-cress ,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Arabidopsis thaliana (L.) Heynh.,Cruciferae,same,mouse-ear thale-cress,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Arabis pycnocarpa M. Hopkins var. pycnocarpa,Cruciferae,Arabis hirsuta (L.) Scop. var. pycnocarpa (M. Hopkins) Rollins,hairy-eared rockcress; hairy rock-cress,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,"Armoracia rusticana P.G. Gaertn., B. Mey., & Scherb.",Cruciferae,same,horseradish,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Aurinia saxatilis (L.) Desv.,new,new,rock goldentuft,E,,,,,,,,,,
Brassicaceae,Barbarea stricta Andrz.,new,new,upright yellow-rocket,E,,Al-Shehbaz (2010),According to Haines this species has been largly overlooked and misidentified as Barbarea vulgarils,,,,,,,
Brassicaceae,Barbarea verna (P. Mill.) Aschers.,Cruciferae,same,early yellow-rocket,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Barbarea vulgaris Ait. f.,Cruciferae,Barbarea vulgaris R. Br. var. vulgaris; Barbarea vulgaris R. Br. var. arcuata (Opis) Fries; Barbarea vulgaris R. Br. var. brachycarpa Rouy & Foucaud,"garden yellow-rocket; common winter-cress, yellow rocket",E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Berteroa incana (L.) DC.,Cruciferae,same,hoary false alyssum,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Boechera canadensis (L.) Al-Shehbaz,Cruciferae,Arabis canadensis L.,sicklepod rockcress,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Boechera laevigata (Muhl. ex Willd.) Al-Shehbaz,Cruciferae,Arabis laevigata (Muhl.) Poir.,smooth rockcress,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Boechera missouriensis (Greene) Al-Shehbaz,Cruciferae,Arabis missouriensis Green,green rockcress,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Boechera stricta (Graham) Al-Shehbaz,Cruciferae,Arabis drummondii Gray,Canada rockcress,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Brassica juncea (L.) Czern.,Cruciferae,Brassica juncea (L.) Czern. var. juncea; Brassica juncea (L.) Czern. var. crispifolia Bailey,Chinese mustard,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Brassica napus L.,Cruciferae,Brassica napus L. ssp. napobrassica (L.) Reichenb.,turnip; rutabaga,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Brassica nigra (L.) W.D.J. Koch,Cruciferae,Brassica nigra (L.) Koch,black mustard,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Brassica oleracea L.,Cruciferae,same,cabbage,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Brassica rapa L.,Cruciferae,Brassica rapa L. ssp. rapa; Brassica rapa L. ssp. oleifera DC.,rape; turnip,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Cakile edentula (Bigelow) Hook. ssp. edentula var. edentula,Cruciferae,Cakile edentula (Bigelow) Hook. var. edentula,American sea-rocket; sea-rocket,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Camelina microcarpa Andrz. ex DC.,Cruciferae,same,"small-seeded false flax; false flax, Dutch flax",E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Camelina sativa (L.) Crantz ssp. sativa,Cruciferae,Camelina sativa (L.) Crantz,large-seeded false flax; gold-of-pleasure,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Capsella bursa-pastoris (L.) Medik.,Cruciferae,Capsella bursa-pastoris (L.) Medic.,shepherd's-purse,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Cardamine bulbosa (Schreb. ex Muhl.) B.S.P.,Cruciferae,Cardamine bulbosa (Schreb.) B.S.P.,bulbous bitter-cress; spring-cress,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Cardamine concatenata (Michx.) Sw.,Cruciferae,Dentaria laciniata Muhl.,cut-leaved toothwort,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Cardamine dentata Schult.,Cruciferae,Cardamine palustris (Winm. & Grab.) Peterm.,white cuckoo bitter-cress,N,,Seymour (1982),,,,,,,,
Brassicaceae,Cardamine diphylla (Michx.) Wood,Cruciferae,Dentaria diphylla Michx.,"two-leaved toothwort; toothwort, pepperwort",N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Cardamine douglassii Britt.,Cruciferae,Cardamine douglassii (Torr.) Britt.,pink bitter-cress; purple-cress,N,SC,,,,,,,,,
Brassicaceae,Cardamine flexuosa With.,new,new,wavy bitter-cress,E,,Tucker (2007; Rhodora 109: 459-460),,,,,,,,
Brassicaceae,Cardamine hirsuta L.,new,new,hairy bitter-cress,E,,Tucker (1995),,,,,,,,
Brassicaceae,Cardamine impatiens L.,Cruciferae,same,narrow-leaved bitter-cress,I,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Cardamine incisa (Eames) Schumann,Cruciferae,Dentaria ×incisifolia Eames,Eames' toothwort,N,,Seymour (1982); Kartesz (2008),Haines synonym is Dentaria incicidifolia Eames ex Britt.,,,,,,,
Brassicaceae,Cardamine longii Fern.,Cruciferae,same,Long's bitter-cress,N,,Kartesz (2008),,,,,,,,
Brassicaceae,Cardamine maxima (Nutt.) Wood,Cruciferae,Dentaria maxima Nutt.; Dentaria ×anomala Eames,large toothwort,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Cardamine parviflora L. var. arenicola (Britt.) O.E. Schulz,Cruciferae,same,small-flowered bitter-cress,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Cardamine pensylvanica Muhl. ex Willd.,Cruciferae,Cardamine pensylvanica Muhl. ,Pennsylvania bitter-cress,N,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Cardamine pratensis L.,Cruciferae,same,pink cuckoo bitter-cress,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Conringia orientalis (L.) Dumort.,Cruciferae,same,hare's-ear mustard,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Descurainia incana (Bernh. ex Fisch. & C.A. Mey.) Dorn,Cruciferae,Descurainia richardsonii (Sweet) O.E. Schulz,mountain tansy-mustard,E,,Seymour (1982); Kartesz (2008),Dowhan lists it as only exotic,,,,,,,
Brassicaceae,Descurainia sophia (L.) Webb ex Prantl,Cruciferae,same,"fine-leaved tansy-mustard; flixweed, herb-Sophia",E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Diplotaxis muralis (L.) DC.,Cruciferae,same,annual wall-rocket; sand rocket or mustard,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Diplotaxis tenuifolia (L.) DC.,Cruciferae,same,perennial wall-rocket; wall rocket or mustard,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Draba reptans (Lam.) Fern.,Cruciferae,same,Carolina whitlow-mustard; whitlow grass,N,SC,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Draba verna L.,Cruciferae,Erophila verna (L.) Chevall. ssp. verna; Erophila verna (L.) Chevall. ssp. praecox (Steren) Walters,spring whitlow-mustard; spring whitlow-grass,E,,Seymour (1982); Kartesz (2008),,,,,,,,
Brassicaceae,Eruca vesicaria (L.) Cav. ssp. sativa (P. Mill.) Thellung,Cruciferae,same,garden rocket,E,,Dowhan (1979),,,,,,,,
Brassicaceae,Erucastrum gallicum (Willd.) O.E. Schulz,new,new,common dog-mustard,E,,Kartesz (2008); Magee and Ahles (1999),,,,,,,,
Brassicaceae,Erysimum cheiranthoides L.,Cruciferae,same,wormseed wallflower,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Hesperis matronalis L.,Cruciferae,same,dame's rocket,I,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Iberis amara L.,Cruciferae,same,rocket candytuft; candytuft,E,,Seymour (1982); Kartesz (1999); Black Rock (GH!),,,,,,,,
Brassicaceae,Lepidium campestre (L.) Ait. f.,Cruciferae,Lepidium campestre (L.) R. Br. ,field pepperweed; field or cow cress,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Lepidium densiflorum Schrad. var. densiflorum,Cruciferae,Lepidium densiflorum Schrad.,"prairie pepperweed; bird's pepper, wild peppergrass",E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Lepidium didymum L.,Cruciferae,Coronopus didymus (L.) Sm.,lesser swine-cress,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Lepidium draba L.,Cruciferae,Cardaria draba L.,heart-podded pepperweed; hoary cress,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Lepidium latifolium L.,Cruciferae,same,broad-leaved pepperweed; perennial pepperweed; tall pepperwort,I,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Lepidium perfoliatum L.,Cruciferae,same,clasping pepperweed,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Lepidium ruderale L.,Cruciferae,same,stinking pepperweed; roadside pepperweed,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Lepidium sativum L.,Cruciferae,same,garden pepperweed; garden cress,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Lepidium squamatum Forsk.,new,new,greater swine-cress,E,,Magee and Ahles (1999); Kartesz (1999)  ,,,,,,,,
Brassicaceae,Lepidium virginicum L. var. virginicum,Cruciferae,Lepidium virginicum L.,poor man's pepperweed,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Lobularia maritima (L.) Desv.,Cruciferae,same,sweet-alyssum,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Lunaria annua L.,Cruciferae,same,annual honesty,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Nasturtium ×sterile (Airy-Shaw) Oelef.,Cruciferae,Rorippa ×sterilis Airy-Shaw,,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Nasturtium microphyllum Boenn. ex Reichenb.,new,new,one-rowed watercress,I,,IPANE data; CONN,,,,,,,,
Brassicaceae,Nasturtium officinale Ait. f.,Cruciferae,Nasturtium officinale R. Br. ,two-rowed watercress,I,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Neslia paniculata (L.) Desv.,Cruciferae,same,yellow ball-mustard; ball-mustard,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Raphanus raphanistrum L. ssp. raphanistrum,Cruciferae,Raphanus raphanistrum L.,wild radish; jointed charlock,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Raphanus sativus L.,new,new,cultivated radish,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Rorippa ×prostrata (Bergeret) Schinz & Thellung,Cruciferae,Rorippa prostrata (Bergeret) Schinz & Thell,greater yellow-cress,E,,Stuckey (1972),,,,,,,,
Brassicaceae,Rorippa austriaca (Crantz) Bess.,new,new,Austrian yellow-cress,E,,,,,,,,,,
Brassicaceae,Rorippa palustris (L.) Bess. var. hispida (Desv.) Rydb.,Cruciferae,Rorippa palustris (L.) Bess. ssp. hispida (Desv.) Jonesell var.  hispida,common yellow-cress,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Rorippa palustris (L.) Bess. var. palustris,Cruciferae,Rorippa palustris (L.) Bess. ssp. palustris; Rorippa palustris (L.) Bess. ssp. glabra (O.E. Schulz) Stuckey var. fernaldiana (Butt. & Abbe) Stuckey,common yellow-cress,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Rorippa sylvestris (L.) Bess.,Cruciferae,same,creeping yellow-cress,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Sinapis alba L.,Cruciferae,same,white charlock; white mustard,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Sinapis arvensis L.,Cruciferae,same,"corn charlock; charlock, crunchweed",N/E,,Seymour (1982); Kartesz (1999),"Dowhan lists it as only exotic, Haines says it was present before European colonization but most populations introduced. List as native or exotic in checklist",,,,,,,
Brassicaceae,Sisymbrium altissimum L.,Cruciferae,same,tumbling hedge-mustard; tumble-mustard,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Sisymbrium irio L.,Cruciferae,same,London hedge-mustard; London rocket,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Sisymbrium loeselii L.,Cruciferae,same,tall hedge-mustard,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Sisymbrium officinale (L.) Scop.,Cruciferae,Sisymbrium officinale (L.) Scop. var. officinale; Sisymbrium officinale (L.) Scop. var. leiocarpum DC.,common hedge-mustard; bank cress (var. leiocarpum),E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Teesdalia nudicaulis (L.) Ait. f.,new,new,common shepherd's-cress,E,,"Specimen at CONN (Les Mehrhoff, personal communication, collected from Norwich)",,,,,,,,
Brassicaceae,Thlaspi arvense L.,Cruciferae,same,field penny-cress,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Brassicaceae,Turritis glabra L.,Cruciferae,Arabis glabra (L.) Bernh.,tower-mustard,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Butomaceae,Butomus umbellatus L.,same,same,flowering rush,I,,Haynes (2000),,,,,,,,
Buxaceae,Pachysandra terminalis Sieb. & Zucc.,new,new,Japanese pachysandra; Japanese mountain-spurge,E,,Kartesz (1999; voucher supposedly at GH); Tucker (2007; Rhodora 109: 460),,,,,,,,
Cactaceae,Opuntia humifusa (Raf.) Raf.,same,Opuntia compressa (Salisb.) Macbr.,eastern prickly-pear,N,SC,Seymour (1982); Kartesz (1999),,,,,,,,
Calycanthaceae,Calycanthus floridus L. var. glaucus (Willd.) Torr. & Gray,same,Calycanthus fertilis Walt.,eastern sweetshrub; Carolina allspice,E,,,"Haines (2011) ""known from CT""",,,,,,,
Campanulaceae,Campanula aparinoides Pursh,same,same; Campanula uliginosa Rydb.,marsh bellflower,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Campanulaceae,Campanula carpatica Jacq.,same,same,tussock bellflower,E,,Dowhan (1979),,,,,,,,
Campanulaceae,Campanula divaricata Michx.,same,same,southern bellflower,E,,Dowhan (1979); Seymour (1982),,,,,,,,
Campanulaceae,Campanula patula L.,same,same,spreading bellflower,E,,Dowhan (1979),,,,,,,,
Campanulaceae,Campanula persicifolia L.,new,new,peach-leaved bellflower,E,,Tucker (1995),,,,,,,,
Campanulaceae,Campanula punctata Lam.,new,new,spotted bellflower,E,,Tucker (2007; Rhodora 109: 460-461),,,,,,,,
Campanulaceae,Campanula rapunculoides L.,same,Campanula rapunculoides L. var. rapunculoides; Campanula  rapanculoides L. var. ucrania (Bess.) K. Koch,creeping bellflower,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Campanulaceae,Campanula rotundifolia L.,same,same,Scotch bellflower,N,,Seymour (1982); Kartesz (1999),,,,,,,,"Tucker 12802 (CONN, EIU)"
Campanulaceae,Jasione montana L.,same,same,sheepbit,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Campanulaceae,Lobelia cardinalis L.,same,same,red lobelia; cardinal flower,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Campanulaceae,Lobelia dortmanna L.,same,same,water lobelia,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Campanulaceae,Lobelia inflata L.,same,same,bladder-pod lobelia; Indian-tobacco,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Campanulaceae,Lobelia kalmii L.,same,same,brook lobelia,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Campanulaceae,Lobelia siphilitica L. var. siphilitica,same,Lobelia siphilitica L.,great lobelia,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Campanulaceae,Lobelia spicata Lam. var. campanulata McVaugh,new,new,pale-spiked lobelia,N,,McVaugh (1936),,,,,,,,
Campanulaceae,Lobelia spicata Lam. var. spicata,same,Lobelia spicata Lam.,pale-spiked lobelia,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Campanulaceae,Triodanis perfoliata (L.) Nieuwl.,same,Specularia perfoliata (L.) A. DC.,clasping-leaved Venus'-looking glass,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Cannabaceae,Cannabis sativa L.,same,same,hemp; marijuana,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Cannabaceae,Celtis occidentalis L.,Ulmaceae,Celtis occidentalis L. var. occidentalis; Celtis occidentalis L. var. pumila (Pursh) Gray,hackberry,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Cannabaceae,Humulus japonicus Sieb. & Zucc.,same,same,Japanese hop,I,,Seymour (1982); Kartesz (1999),,,,,,,,
Cannabaceae,Humulus lupulus L. ssp. americanus (Nutt.) A. & D. Löve,same,Humulus lupulus L.,American common hop,N,,Small (1978; Systematic Botany 3),,,,,,,,
Cannabaceae,Humulus lupulus L. ssp. lupulus,same,Humulus lupulus L.,common hop,E,,Small (1978; Systematic Botany 3),,,,,,,,
Caprifoliaceae,Diervilla lonicera P. Mill.,same,same,bush-honeysuckle,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Caprifoliaceae,Dipsacus fullonum L.,Dipsacaceae,same,fuller's teasel; wild teasel,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Caprifoliaceae,Knautia arvensis (L.) Coult.,Dipsacaceae,same,bluebuttons,E,,Seymour (1982); Kartesz (1999),,,,,,,,
